Regional_District,Target_Type,Date,Data_Type,Completions_Value,PI_Lower_95,PI_Upper_95,Winning_Model,PI_Lower_80,PI_Upper_80,PI_Lower_50,PI_Upper_50,PI_Method
British Columbia (Total),Total,2020-01-01,Historical,3409.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2020-02-01,Historical,2940.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2020-03-01,Historical,2871.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2020-04-01,Historical,2805.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2020-05-01,Historical,3086.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2020-06-01,Historical,2992.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2020-07-01,Historical,2872.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2020-08-01,Historical,2755.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2020-09-01,Historical,2834.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2020-10-01,Historical,2788.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2020-11-01,Historical,2679.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2020-12-01,Historical,2845.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2021-01-01,Historical,2655.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2021-02-01,Historical,2298.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2021-03-01,Historical,2166.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2021-04-01,Historical,2458.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2021-05-01,Historical,2647.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2021-06-01,Historical,3232.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2021-07-01,Historical,3201.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2021-08-01,Historical,3850.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2021-09-01,Historical,3565.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2021-10-01,Historical,3235.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2021-11-01,Historical,2965.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2021-12-01,Historical,2927.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2022-01-01,Historical,2851.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2022-02-01,Historical,2534.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2022-03-01,Historical,2625.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2022-04-01,Historical,2882.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2022-05-01,Historical,3512.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2022-06-01,Historical,2910.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2022-07-01,Historical,3134.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2022-08-01,Historical,2345.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2022-09-01,Historical,2398.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2022-10-01,Historical,1861.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2022-11-01,Historical,2161.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2022-12-01,Historical,2388.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2023-01-01,Historical,2799.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2023-02-01,Historical,2639.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2023-03-01,Historical,2533.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2023-04-01,Historical,2421.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2023-05-01,Historical,2232.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2023-06-01,Historical,2281.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2023-07-01,Historical,2050.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2023-08-01,Historical,2989.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2023-09-01,Historical,2777.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2023-10-01,Historical,3043.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2023-11-01,Historical,2544.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2023-12-01,Historical,2615.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2024-01-01,Historical,2452.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2024-02-01,Historical,2420.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2024-03-01,Historical,2514.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2024-04-01,Historical,2657.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2024-05-01,Historical,2389.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2024-06-01,Historical,2650.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2024-07-01,Historical,2760.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2024-08-01,Historical,3172.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2024-09-01,Historical,3222.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2024-10-01,Historical,3179.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2024-11-01,Historical,2894.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2024-12-01,Historical,3471.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2025-01-01,Historical,3150.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2025-02-01,Historical,3386.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2025-03-01,Historical,2585.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2025-04-01,Historical,2994.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2025-05-01,Historical,3500.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2025-06-01,Historical,4001.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2025-07-01,Historical,3783.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2025-08-01,Historical,3123.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2025-09-01,Historical,3355.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2025-10-01,Historical,3899.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2025-11-01,Historical,4413.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2025-12-01,Historical,4288.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2026-01-01,Forecast,4024.9,2312.2,4505.8,Pooled Ridge v13,2873.4,4240.8,3399.8,3977.2,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2026-02-01,Forecast,3675.7,1963.1,4156.7,Pooled Ridge v13,2524.2,3891.7,3050.6,3628.0,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2026-03-01,Forecast,3467.8,1755.2,3948.8,Pooled Ridge v13,2316.3,3683.8,2842.8,3420.1,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2026-04-01,Forecast,3451.3,1488.7,5291.4,Pooled Ridge v13,2499.2,4337.9,2858.6,3840.7,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2026-05-01,Forecast,3544.0,1581.5,5384.2,Pooled Ridge v13,2592.0,4430.6,2951.3,3933.5,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2026-06-01,Forecast,3674.5,1712.0,5514.6,Pooled Ridge v13,2722.4,4561.1,3081.8,4063.9,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2026-07-01,Forecast,3814.9,1614.3,5249.4,Pooled Ridge v13,2095.4,4852.3,3071.2,4119.2,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2026-08-01,Forecast,3967.5,1766.9,5402.0,Pooled Ridge v13,2248.0,5004.9,3223.8,4271.9,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2026-09-01,Forecast,4134.5,1933.9,5569.0,Pooled Ridge v13,2415.0,5171.9,3390.8,4438.9,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2026-10-01,Forecast,4216.0,2015.3,5650.4,Pooled Ridge v13,2496.5,5253.4,3472.3,4520.3,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2026-11-01,Forecast,4150.7,1950.1,5585.2,Pooled Ridge v13,2431.2,5188.1,3407.0,4455.0,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2026-12-01,Forecast,4001.2,1800.5,5435.6,Pooled Ridge v13,2281.6,5038.5,3257.5,4305.5,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2027-01-01,Forecast,3863.4,1289.1,5541.4,Pooled Ridge v13,1851.9,5077.0,2993.4,4219.4,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2027-02-01,Forecast,3769.6,1098.1,5511.0,Pooled Ridge v13,1682.2,5028.9,2866.8,4139.0,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2027-03-01,Forecast,3736.7,971.4,5539.2,Pooled Ridge v13,1576.0,5040.2,2802.2,4119.1,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2027-04-01,Forecast,3758.6,902.7,5620.2,Pooled Ridge v13,1527.1,5104.9,2793.5,4153.6,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2027-05-01,Forecast,3820.5,876.7,5739.4,Pooled Ridge v13,1520.3,5208.3,2825.7,4227.6,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2027-06-01,Forecast,3906.5,877.3,5881.0,Pooled Ridge v13,1539.6,5334.5,2882.8,4325.4,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2027-07-01,Forecast,4000.2,888.0,6028.8,Pooled Ridge v13,1568.4,5467.3,2948.4,4430.5,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2027-08-01,Forecast,4084.0,891.0,6165.4,Pooled Ridge v13,1589.1,5589.3,3005.0,4525.6,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2027-09-01,Forecast,4139.8,867.9,6272.5,Pooled Ridge v13,1583.3,5682.2,3034.1,4592.2,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2027-10-01,Forecast,4152.7,803.8,6335.6,Pooled Ridge v13,1536.0,5731.3,3020.9,4615.8,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2027-11-01,Forecast,4124.5,700.3,6356.4,Pooled Ridge v13,1448.9,5738.6,2967.3,4598.0,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2027-12-01,Forecast,4072.1,574.3,6352.1,Pooled Ridge v13,1339.1,5721.0,2890.1,4555.8,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2028-01-01,Forecast,4015.4,494.3,6310.5,Pooled Ridge v13,1264.1,5675.2,2825.4,4502.3,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2028-02-01,Forecast,3969.7,448.6,6264.8,Pooled Ridge v13,1218.5,5629.5,2779.7,4456.6,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2028-03-01,Forecast,3946.6,425.5,6241.7,Pooled Ridge v13,1195.4,5606.4,2756.6,4433.5,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2028-04-01,Forecast,3951.3,430.3,6246.4,Pooled Ridge v13,1200.1,5611.1,2761.4,4438.2,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2028-05-01,Forecast,3982.5,461.4,6277.6,Pooled Ridge v13,1231.3,5642.3,2792.6,4469.4,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2028-06-01,Forecast,4032.7,511.6,6327.8,Pooled Ridge v13,1281.5,5692.5,2842.7,4519.6,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2028-07-01,Forecast,4089.9,568.9,6385.1,Pooled Ridge v13,1338.7,5749.7,2900.0,4576.8,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2028-08-01,Forecast,4140.9,619.9,6436.1,Pooled Ridge v13,1389.7,5800.7,2951.0,4627.8,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2028-09-01,Forecast,4174.5,653.4,6469.6,Pooled Ridge v13,1423.2,5834.3,2984.5,4661.4,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2028-10-01,Forecast,4184.6,663.6,6479.7,Pooled Ridge v13,1433.4,5844.4,2994.7,4671.5,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2028-11-01,Forecast,4172.3,651.2,6467.4,Pooled Ridge v13,1421.1,5832.1,2982.4,4659.2,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2028-12-01,Forecast,4144.2,623.1,6439.3,Pooled Ridge v13,1393.0,5804.0,2954.3,4631.1,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2020-01-01,Historical,666.0,,,Pooled Ridge v13,,,,,
Capital,Total,2020-02-01,Historical,436.5,,,Pooled Ridge v13,,,,,
Capital,Total,2020-03-01,Historical,353.3,,,Pooled Ridge v13,,,,,
Capital,Total,2020-04-01,Historical,226.7,,,Pooled Ridge v13,,,,,
Capital,Total,2020-05-01,Historical,279.3,,,Pooled Ridge v13,,,,,
Capital,Total,2020-06-01,Historical,286.3,,,Pooled Ridge v13,,,,,
Capital,Total,2020-07-01,Historical,274.3,,,Pooled Ridge v13,,,,,
Capital,Total,2020-08-01,Historical,295.3,,,Pooled Ridge v13,,,,,
Capital,Total,2020-09-01,Historical,293.0,,,Pooled Ridge v13,,,,,
Capital,Total,2020-10-01,Historical,253.7,,,Pooled Ridge v13,,,,,
Capital,Total,2020-11-01,Historical,176.3,,,Pooled Ridge v13,,,,,
Capital,Total,2020-12-01,Historical,415.3,,,Pooled Ridge v13,,,,,
Capital,Total,2021-01-01,Historical,433.7,,,Pooled Ridge v13,,,,,
Capital,Total,2021-02-01,Historical,423.7,,,Pooled Ridge v13,,,,,
Capital,Total,2021-03-01,Historical,256.3,,,Pooled Ridge v13,,,,,
Capital,Total,2021-04-01,Historical,258.0,,,Pooled Ridge v13,,,,,
Capital,Total,2021-05-01,Historical,273.3,,,Pooled Ridge v13,,,,,
Capital,Total,2021-06-01,Historical,412.7,,,Pooled Ridge v13,,,,,
Capital,Total,2021-07-01,Historical,407.0,,,Pooled Ridge v13,,,,,
Capital,Total,2021-08-01,Historical,442.7,,,Pooled Ridge v13,,,,,
Capital,Total,2021-09-01,Historical,338.7,,,Pooled Ridge v13,,,,,
Capital,Total,2021-10-01,Historical,356.3,,,Pooled Ridge v13,,,,,
Capital,Total,2021-11-01,Historical,311.3,,,Pooled Ridge v13,,,,,
Capital,Total,2021-12-01,Historical,294.7,,,Pooled Ridge v13,,,,,
Capital,Total,2022-01-01,Historical,259.0,,,Pooled Ridge v13,,,,,
Capital,Total,2022-02-01,Historical,278.0,,,Pooled Ridge v13,,,,,
Capital,Total,2022-03-01,Historical,219.0,,,Pooled Ridge v13,,,,,
Capital,Total,2022-04-01,Historical,254.0,,,Pooled Ridge v13,,,,,
Capital,Total,2022-05-01,Historical,231.0,,,Pooled Ridge v13,,,,,
Capital,Total,2022-06-01,Historical,220.7,,,Pooled Ridge v13,,,,,
Capital,Total,2022-07-01,Historical,276.0,,,Pooled Ridge v13,,,,,
Capital,Total,2022-08-01,Historical,285.7,,,Pooled Ridge v13,,,,,
Capital,Total,2022-09-01,Historical,260.3,,,Pooled Ridge v13,,,,,
Capital,Total,2022-10-01,Historical,157.3,,,Pooled Ridge v13,,,,,
Capital,Total,2022-11-01,Historical,180.0,,,Pooled Ridge v13,,,,,
Capital,Total,2022-12-01,Historical,219.3,,,Pooled Ridge v13,,,,,
Capital,Total,2023-01-01,Historical,275.0,,,Pooled Ridge v13,,,,,
Capital,Total,2023-02-01,Historical,427.3,,,Pooled Ridge v13,,,,,
Capital,Total,2023-03-01,Historical,370.0,,,Pooled Ridge v13,,,,,
Capital,Total,2023-04-01,Historical,437.7,,,Pooled Ridge v13,,,,,
Capital,Total,2023-05-01,Historical,253.7,,,Pooled Ridge v13,,,,,
Capital,Total,2023-06-01,Historical,297.0,,,Pooled Ridge v13,,,,,
Capital,Total,2023-07-01,Historical,195.0,,,Pooled Ridge v13,,,,,
Capital,Total,2023-08-01,Historical,392.7,,,Pooled Ridge v13,,,,,
Capital,Total,2023-09-01,Historical,335.0,,,Pooled Ridge v13,,,,,
Capital,Total,2023-10-01,Historical,494.3,,,Pooled Ridge v13,,,,,
Capital,Total,2023-11-01,Historical,335.7,,,Pooled Ridge v13,,,,,
Capital,Total,2023-12-01,Historical,396.0,,,Pooled Ridge v13,,,,,
Capital,Total,2024-01-01,Historical,336.7,,,Pooled Ridge v13,,,,,
Capital,Total,2024-02-01,Historical,334.3,,,Pooled Ridge v13,,,,,
Capital,Total,2024-03-01,Historical,430.7,,,Pooled Ridge v13,,,,,
Capital,Total,2024-04-01,Historical,339.7,,,Pooled Ridge v13,,,,,
Capital,Total,2024-05-01,Historical,369.7,,,Pooled Ridge v13,,,,,
Capital,Total,2024-06-01,Historical,375.0,,,Pooled Ridge v13,,,,,
Capital,Total,2024-07-01,Historical,340.3,,,Pooled Ridge v13,,,,,
Capital,Total,2024-08-01,Historical,471.0,,,Pooled Ridge v13,,,,,
Capital,Total,2024-09-01,Historical,417.0,,,Pooled Ridge v13,,,,,
Capital,Total,2024-10-01,Historical,444.3,,,Pooled Ridge v13,,,,,
Capital,Total,2024-11-01,Historical,299.0,,,Pooled Ridge v13,,,,,
Capital,Total,2024-12-01,Historical,255.7,,,Pooled Ridge v13,,,,,
Capital,Total,2025-01-01,Historical,226.3,,,Pooled Ridge v13,,,,,
Capital,Total,2025-02-01,Historical,226.3,,,Pooled Ridge v13,,,,,
Capital,Total,2025-03-01,Historical,177.7,,,Pooled Ridge v13,,,,,
Capital,Total,2025-04-01,Historical,259.0,,,Pooled Ridge v13,,,,,
Capital,Total,2025-05-01,Historical,256.7,,,Pooled Ridge v13,,,,,
Capital,Total,2025-06-01,Historical,365.7,,,Pooled Ridge v13,,,,,
Capital,Total,2025-07-01,Historical,321.7,,,Pooled Ridge v13,,,,,
Capital,Total,2025-08-01,Historical,294.0,,,Pooled Ridge v13,,,,,
Capital,Total,2025-09-01,Historical,471.7,,,Pooled Ridge v13,,,,,
Capital,Total,2025-10-01,Historical,444.0,,,Pooled Ridge v13,,,,,
Capital,Total,2025-11-01,Historical,500.3,,,Pooled Ridge v13,,,,,
Capital,Total,2025-12-01,Historical,302.3,,,Pooled Ridge v13,,,,,
Capital,Total,2026-01-01,Forecast,305.6,114.5,359.3,Pooled Ridge v13,177.1,329.7,235.9,300.3,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2026-02-01,Forecast,294.4,103.3,348.1,Pooled Ridge v13,165.9,318.5,224.7,289.1,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2026-03-01,Forecast,348.6,157.5,402.3,Pooled Ridge v13,220.1,372.7,278.8,343.3,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2026-04-01,Forecast,385.2,166.2,590.6,Pooled Ridge v13,278.9,484.1,319.0,428.7,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2026-05-01,Forecast,408.2,189.1,613.5,Pooled Ridge v13,301.9,507.1,342.0,451.6,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2026-06-01,Forecast,419.5,200.4,624.8,Pooled Ridge v13,313.2,518.4,353.3,462.9,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2026-07-01,Forecast,423.2,177.6,583.3,Pooled Ridge v13,231.3,539.0,340.2,457.2,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2026-08-01,Forecast,436.0,190.4,596.1,Pooled Ridge v13,244.1,551.8,353.0,470.0,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2026-09-01,Forecast,452.8,207.2,612.9,Pooled Ridge v13,260.9,568.6,369.8,486.8,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2026-10-01,Forecast,450.3,204.7,610.4,Pooled Ridge v13,258.4,566.1,367.3,484.3,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2026-11-01,Forecast,439.6,194.0,599.7,Pooled Ridge v13,247.7,555.4,356.6,473.6,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2026-12-01,Forecast,420.2,174.6,580.3,Pooled Ridge v13,228.3,536.0,337.2,454.2,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2027-01-01,Forecast,416.6,129.3,603.9,Pooled Ridge v13,192.1,552.1,319.5,456.4,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2027-02-01,Forecast,415.2,117.0,609.5,Pooled Ridge v13,182.2,555.7,314.4,456.4,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2027-03-01,Forecast,418.8,110.2,620.0,Pooled Ridge v13,177.7,564.3,314.5,461.5,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2027-04-01,Forecast,423.0,104.3,630.8,Pooled Ridge v13,174.0,573.3,315.3,467.1,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2027-05-01,Forecast,429.0,100.5,643.2,Pooled Ridge v13,172.3,583.9,318.0,474.4,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2027-06-01,Forecast,436.6,98.6,657.0,Pooled Ridge v13,172.5,596.0,322.4,483.4,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2027-07-01,Forecast,445.6,98.2,672.0,Pooled Ridge v13,174.1,609.3,328.2,493.6,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2027-08-01,Forecast,454.5,98.1,686.8,Pooled Ridge v13,176.0,622.5,334.0,503.8,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2027-09-01,Forecast,460.8,95.7,698.9,Pooled Ridge v13,175.5,633.0,337.4,511.3,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2027-10-01,Forecast,462.6,88.9,706.3,Pooled Ridge v13,170.6,638.8,336.3,514.3,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2027-11-01,Forecast,461.0,78.8,710.1,Pooled Ridge v13,162.4,641.1,331.8,513.8,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2027-12-01,Forecast,457.0,66.6,711.5,Pooled Ridge v13,152.0,641.0,325.1,511.0,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2028-01-01,Forecast,453.0,60.0,709.1,Pooled Ridge v13,145.9,638.2,320.2,507.3,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2028-02-01,Forecast,449.3,56.4,705.5,Pooled Ridge v13,142.3,634.6,316.5,503.7,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2028-03-01,Forecast,447.6,54.6,703.7,Pooled Ridge v13,140.5,632.8,314.8,501.9,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2028-04-01,Forecast,448.4,55.4,704.5,Pooled Ridge v13,141.3,633.6,315.6,502.7,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2028-05-01,Forecast,452.0,59.1,708.2,Pooled Ridge v13,145.0,637.3,319.2,506.4,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2028-06-01,Forecast,457.9,64.9,714.1,Pooled Ridge v13,150.9,643.2,325.1,512.3,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2028-07-01,Forecast,464.8,71.8,720.9,Pooled Ridge v13,157.7,650.0,332.0,519.1,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2028-08-01,Forecast,471.2,78.2,727.3,Pooled Ridge v13,164.1,656.4,338.3,525.5,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2028-09-01,Forecast,475.7,82.7,731.8,Pooled Ridge v13,168.6,660.9,342.9,530.0,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2028-10-01,Forecast,477.6,84.6,733.8,Pooled Ridge v13,170.5,662.8,344.8,531.9,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2028-11-01,Forecast,477.0,84.1,733.2,Pooled Ridge v13,170.0,662.3,344.2,531.4,"Conformal (pooled, holdout-calibrated)"
Capital,Total,2028-12-01,Forecast,474.6,81.7,730.8,Pooled Ridge v13,167.6,659.9,341.8,529.0,"Conformal (pooled, holdout-calibrated)"
Central Okanagan,Total,2020-01-01,Historical,105.0,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2020-02-01,Historical,98.0,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2020-03-01,Historical,129.7,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2020-04-01,Historical,121.0,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2020-05-01,Historical,276.0,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2020-06-01,Historical,258.7,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2020-07-01,Historical,270.3,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2020-08-01,Historical,127.7,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2020-09-01,Historical,161.7,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2020-10-01,Historical,263.7,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2020-11-01,Historical,272.0,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2020-12-01,Historical,191.0,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2021-01-01,Historical,84.3,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2021-02-01,Historical,109.3,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2021-03-01,Historical,142.7,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2021-04-01,Historical,214.0,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2021-05-01,Historical,173.0,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2021-06-01,Historical,224.7,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2021-07-01,Historical,175.3,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2021-08-01,Historical,245.3,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2021-09-01,Historical,210.3,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2021-10-01,Historical,199.3,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2021-11-01,Historical,116.0,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2021-12-01,Historical,135.7,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2022-01-01,Historical,163.0,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2022-02-01,Historical,174.3,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2022-03-01,Historical,183.0,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2022-04-01,Historical,147.3,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2022-05-01,Historical,159.7,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2022-06-01,Historical,134.3,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2022-07-01,Historical,216.7,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2022-08-01,Historical,320.7,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2022-09-01,Historical,299.3,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2022-10-01,Historical,267.0,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2022-11-01,Historical,156.7,,,Pooled Ridge v13,,,,,
Central Okanagan,Total,2022-12-01,Historical,180.7,,,Pooled Ridge v13,,,,,
