Regional_District,Target_Type,Date,Scenario,Completions_Value
Capital,Single,2027-06-01,Baseline,22.5
Capital,Single,2027-07-01,Baseline,22.8
Capital,Single,2027-08-01,Baseline,22.9
Capital,Single,2027-09-01,Baseline,22.9
Capital,Single,2027-10-01,Baseline,22.7
Capital,Single,2027-11-01,Baseline,22.4
Capital,Single,2027-12-01,Baseline,22.0
Capital,Single,2028-01-01,Baseline,21.7
Capital,Single,2028-02-01,Baseline,21.5
Capital,Single,2028-03-01,Baseline,21.4
Capital,Single,2028-04-01,Baseline,21.5
Capital,Single,2028-05-01,Baseline,21.6
Capital,Single,2028-06-01,Baseline,21.8
Capital,Single,2028-07-01,Baseline,21.9
Capital,Single,2028-08-01,Baseline,21.9
Capital,Single,2028-09-01,Baseline,21.9
Capital,Single,2028-10-01,Baseline,21.8
Capital,Single,2028-11-01,Baseline,21.6
Capital,Single,2028-12-01,Baseline,21.4
Capital,Single,2026-01-01,Downside_+100bp,27.0
Capital,Single,2026-02-01,Downside_+100bp,25.0
Capital,Single,2026-03-01,Downside_+100bp,22.7
Capital,Single,2026-04-01,Downside_+100bp,21.9
Capital,Single,2026-05-01,Downside_+100bp,22.2
Capital,Single,2026-06-01,Downside_+100bp,23.4
Capital,Single,2026-07-01,Downside_+100bp,24.3
Capital,Single,2026-08-01,Downside_+100bp,24.4
Capital,Single,2026-09-01,Downside_+100bp,24.4
Capital,Single,2026-10-01,Downside_+100bp,24.2
Capital,Single,2026-11-01,Downside_+100bp,24.2
Capital,Single,2026-12-01,Downside_+100bp,23.6
Capital,Single,2027-01-01,Downside_+100bp,22.7
Capital,Single,2027-02-01,Downside_+100bp,22.1
Capital,Single,2027-03-01,Downside_+100bp,21.8
Capital,Single,2027-04-01,Downside_+100bp,21.9
Capital,Single,2027-05-01,Downside_+100bp,22.2
Capital,Single,2027-06-01,Downside_+100bp,22.5
Capital,Single,2027-07-01,Downside_+100bp,22.8
Capital,Single,2027-08-01,Downside_+100bp,23.0
Capital,Single,2027-09-01,Downside_+100bp,22.9
Capital,Single,2027-10-01,Downside_+100bp,22.8
Capital,Single,2027-11-01,Downside_+100bp,22.5
Capital,Single,2027-12-01,Downside_+100bp,22.1
Capital,Single,2028-01-01,Downside_+100bp,21.7
Capital,Single,2028-02-01,Downside_+100bp,21.5
Capital,Single,2028-03-01,Downside_+100bp,21.5
Capital,Single,2028-04-01,Downside_+100bp,21.5
Capital,Single,2028-05-01,Downside_+100bp,21.6
Capital,Single,2028-06-01,Downside_+100bp,21.8
Capital,Single,2028-07-01,Downside_+100bp,21.9
Capital,Single,2028-08-01,Downside_+100bp,22.0
Capital,Single,2028-09-01,Downside_+100bp,22.0
Capital,Single,2028-10-01,Downside_+100bp,21.8
Capital,Single,2028-11-01,Downside_+100bp,21.7
Capital,Single,2028-12-01,Downside_+100bp,21.5
Capital,Single,2026-01-01,Upside_-100bp,27.0
Capital,Single,2026-02-01,Upside_-100bp,25.0
Capital,Single,2026-03-01,Upside_-100bp,22.7
Capital,Single,2026-04-01,Upside_-100bp,21.9
Capital,Single,2026-05-01,Upside_-100bp,22.2
Capital,Single,2026-06-01,Upside_-100bp,23.4
Capital,Single,2026-07-01,Upside_-100bp,24.3
Capital,Single,2026-08-01,Upside_-100bp,24.4
Capital,Single,2026-09-01,Upside_-100bp,24.4
Capital,Single,2026-10-01,Upside_-100bp,24.2
Capital,Single,2026-11-01,Upside_-100bp,24.1
Capital,Single,2026-12-01,Upside_-100bp,23.5
Capital,Single,2027-01-01,Upside_-100bp,22.6
Capital,Single,2027-02-01,Upside_-100bp,22.0
Capital,Single,2027-03-01,Upside_-100bp,21.7
Capital,Single,2027-04-01,Upside_-100bp,21.8
Capital,Single,2027-05-01,Upside_-100bp,22.1
Capital,Single,2027-06-01,Upside_-100bp,22.4
Capital,Single,2027-07-01,Upside_-100bp,22.7
Capital,Single,2027-08-01,Upside_-100bp,22.9
Capital,Single,2027-09-01,Upside_-100bp,22.8
Capital,Single,2027-10-01,Upside_-100bp,22.7
Capital,Single,2027-11-01,Upside_-100bp,22.4
Capital,Single,2027-12-01,Upside_-100bp,22.0
Capital,Single,2028-01-01,Upside_-100bp,21.7
Capital,Single,2028-02-01,Upside_-100bp,21.4
Capital,Single,2028-03-01,Upside_-100bp,21.4
Capital,Single,2028-04-01,Upside_-100bp,21.4
Capital,Single,2028-05-01,Upside_-100bp,21.6
Capital,Single,2028-06-01,Upside_-100bp,21.7
Capital,Single,2028-07-01,Upside_-100bp,21.8
Capital,Single,2028-08-01,Upside_-100bp,21.9
Capital,Single,2028-09-01,Upside_-100bp,21.9
Capital,Single,2028-10-01,Upside_-100bp,21.8
Capital,Single,2028-11-01,Upside_-100bp,21.6
Capital,Single,2028-12-01,Upside_-100bp,21.4
Central Okanagan,Single,2026-01-01,Baseline,29.7
Central Okanagan,Single,2026-02-01,Baseline,29.7
Central Okanagan,Single,2026-03-01,Baseline,27.5
Central Okanagan,Single,2026-04-01,Baseline,26.5
Central Okanagan,Single,2026-05-01,Baseline,26.0
Central Okanagan,Single,2026-06-01,Baseline,26.6
Central Okanagan,Single,2026-07-01,Baseline,27.8
Central Okanagan,Single,2026-08-01,Baseline,28.9
Central Okanagan,Single,2026-09-01,Baseline,29.4
Central Okanagan,Single,2026-10-01,Baseline,29.2
Central Okanagan,Single,2026-11-01,Baseline,28.9
Central Okanagan,Single,2026-12-01,Baseline,28.8
Central Okanagan,Single,2027-01-01,Baseline,28.1
Central Okanagan,Single,2027-02-01,Baseline,27.6
Central Okanagan,Single,2027-03-01,Baseline,27.3
Central Okanagan,Single,2027-04-01,Baseline,27.4
Central Okanagan,Single,2027-05-01,Baseline,27.8
Central Okanagan,Single,2027-06-01,Baseline,28.4
Central Okanagan,Single,2027-07-01,Baseline,28.9
Central Okanagan,Single,2027-08-01,Baseline,29.2
Central Okanagan,Single,2027-09-01,Baseline,29.3
Central Okanagan,Single,2027-10-01,Baseline,29.2
Central Okanagan,Single,2027-11-01,Baseline,28.9
Central Okanagan,Single,2027-12-01,Baseline,28.6
Central Okanagan,Single,2028-01-01,Baseline,28.3
Central Okanagan,Single,2028-02-01,Baseline,28.1
Central Okanagan,Single,2028-03-01,Baseline,28.1
Central Okanagan,Single,2028-04-01,Baseline,28.2
Central Okanagan,Single,2028-05-01,Baseline,28.5
Central Okanagan,Single,2028-06-01,Baseline,28.8
Central Okanagan,Single,2028-07-01,Baseline,29.0
Central Okanagan,Single,2028-08-01,Baseline,29.2
Central Okanagan,Single,2028-09-01,Baseline,29.2
Central Okanagan,Single,2028-10-01,Baseline,29.1
Central Okanagan,Single,2028-11-01,Baseline,29.0
Central Okanagan,Single,2028-12-01,Baseline,28.8
Central Okanagan,Single,2026-01-01,Downside_+100bp,29.7
Central Okanagan,Single,2026-02-01,Downside_+100bp,29.7
Central Okanagan,Single,2026-03-01,Downside_+100bp,27.5
Central Okanagan,Single,2026-04-01,Downside_+100bp,26.5
Central Okanagan,Single,2026-05-01,Downside_+100bp,26.0
Central Okanagan,Single,2026-06-01,Downside_+100bp,26.6
Central Okanagan,Single,2026-07-01,Downside_+100bp,27.8
Central Okanagan,Single,2026-08-01,Downside_+100bp,28.9
Central Okanagan,Single,2026-09-01,Downside_+100bp,29.4
Central Okanagan,Single,2026-10-01,Downside_+100bp,29.3
Central Okanagan,Single,2026-11-01,Downside_+100bp,29.0
Central Okanagan,Single,2026-12-01,Downside_+100bp,28.9
Central Okanagan,Single,2027-01-01,Downside_+100bp,28.1
Central Okanagan,Single,2027-02-01,Downside_+100bp,27.6
Central Okanagan,Single,2027-03-01,Downside_+100bp,27.3
Central Okanagan,Single,2027-04-01,Downside_+100bp,27.5
Central Okanagan,Single,2027-05-01,Downside_+100bp,27.9
Central Okanagan,Single,2027-06-01,Downside_+100bp,28.5
Central Okanagan,Single,2027-07-01,Downside_+100bp,29.0
Central Okanagan,Single,2027-08-01,Downside_+100bp,29.3
Central Okanagan,Single,2027-09-01,Downside_+100bp,29.4
Central Okanagan,Single,2027-10-01,Downside_+100bp,29.3
Central Okanagan,Single,2027-11-01,Downside_+100bp,29.0
Central Okanagan,Single,2027-12-01,Downside_+100bp,28.7
Central Okanagan,Single,2028-01-01,Downside_+100bp,28.4
Central Okanagan,Single,2028-02-01,Downside_+100bp,28.2
Central Okanagan,Single,2028-03-01,Downside_+100bp,28.1
Central Okanagan,Single,2028-04-01,Downside_+100bp,28.3
Central Okanagan,Single,2028-05-01,Downside_+100bp,28.5
Central Okanagan,Single,2028-06-01,Downside_+100bp,28.8
Central Okanagan,Single,2028-07-01,Downside_+100bp,29.1
Central Okanagan,Single,2028-08-01,Downside_+100bp,29.2
Central Okanagan,Single,2028-09-01,Downside_+100bp,29.3
Central Okanagan,Single,2028-10-01,Downside_+100bp,29.2
Central Okanagan,Single,2028-11-01,Downside_+100bp,29.0
Central Okanagan,Single,2028-12-01,Downside_+100bp,28.8
Central Okanagan,Single,2026-01-01,Upside_-100bp,29.7
Central Okanagan,Single,2026-02-01,Upside_-100bp,29.7
Central Okanagan,Single,2026-03-01,Upside_-100bp,27.5
Central Okanagan,Single,2026-04-01,Upside_-100bp,26.5
Central Okanagan,Single,2026-05-01,Upside_-100bp,26.0
Central Okanagan,Single,2026-06-01,Upside_-100bp,26.6
Central Okanagan,Single,2026-07-01,Upside_-100bp,27.8
Central Okanagan,Single,2026-08-01,Upside_-100bp,28.9
Central Okanagan,Single,2026-09-01,Upside_-100bp,29.4
Central Okanagan,Single,2026-10-01,Upside_-100bp,29.2
Central Okanagan,Single,2026-11-01,Upside_-100bp,28.9
Central Okanagan,Single,2026-12-01,Upside_-100bp,28.8
Central Okanagan,Single,2027-01-01,Upside_-100bp,28.0
Central Okanagan,Single,2027-02-01,Upside_-100bp,27.5
Central Okanagan,Single,2027-03-01,Upside_-100bp,27.2
Central Okanagan,Single,2027-04-01,Upside_-100bp,27.4
Central Okanagan,Single,2027-05-01,Upside_-100bp,27.8
Central Okanagan,Single,2027-06-01,Upside_-100bp,28.3
Central Okanagan,Single,2027-07-01,Upside_-100bp,28.9
Central Okanagan,Single,2027-08-01,Upside_-100bp,29.2
Central Okanagan,Single,2027-09-01,Upside_-100bp,29.3
Central Okanagan,Single,2027-10-01,Upside_-100bp,29.1
Central Okanagan,Single,2027-11-01,Upside_-100bp,28.9
Central Okanagan,Single,2027-12-01,Upside_-100bp,28.6
Central Okanagan,Single,2028-01-01,Upside_-100bp,28.2
Central Okanagan,Single,2028-02-01,Upside_-100bp,28.1
Central Okanagan,Single,2028-03-01,Upside_-100bp,28.0
Central Okanagan,Single,2028-04-01,Upside_-100bp,28.2
Central Okanagan,Single,2028-05-01,Upside_-100bp,28.4
Central Okanagan,Single,2028-06-01,Upside_-100bp,28.7
Central Okanagan,Single,2028-07-01,Upside_-100bp,29.0
Central Okanagan,Single,2028-08-01,Upside_-100bp,29.1
Central Okanagan,Single,2028-09-01,Upside_-100bp,29.2
Central Okanagan,Single,2028-10-01,Upside_-100bp,29.1
Central Okanagan,Single,2028-11-01,Upside_-100bp,28.9
Central Okanagan,Single,2028-12-01,Upside_-100bp,28.7
Fraser Valley,Single,2026-01-01,Baseline,29.6
Fraser Valley,Single,2026-02-01,Baseline,28.8
Fraser Valley,Single,2026-03-01,Baseline,27.5
Fraser Valley,Single,2026-04-01,Baseline,27.5
Fraser Valley,Single,2026-05-01,Baseline,27.9
Fraser Valley,Single,2026-06-01,Baseline,29.2
Fraser Valley,Single,2026-07-01,Baseline,30.6
Fraser Valley,Single,2026-08-01,Baseline,31.6
Fraser Valley,Single,2026-09-01,Baseline,31.7
Fraser Valley,Single,2026-10-01,Baseline,31.5
Fraser Valley,Single,2026-11-01,Baseline,30.8
Fraser Valley,Single,2026-12-01,Baseline,30.3
Fraser Valley,Single,2027-01-01,Baseline,29.5
Fraser Valley,Single,2027-02-01,Baseline,29.1
Fraser Valley,Single,2027-03-01,Baseline,29.0
Fraser Valley,Single,2027-04-01,Baseline,29.3
Fraser Valley,Single,2027-05-01,Baseline,29.8
Fraser Valley,Single,2027-06-01,Baseline,30.4
Fraser Valley,Single,2027-07-01,Baseline,30.9
Fraser Valley,Single,2027-08-01,Baseline,31.2
Fraser Valley,Single,2027-09-01,Baseline,31.2
Fraser Valley,Single,2027-10-01,Baseline,31.1
Fraser Valley,Single,2027-11-01,Baseline,30.8
Fraser Valley,Single,2027-12-01,Baseline,30.4
Fraser Valley,Single,2028-01-01,Baseline,30.1
Fraser Valley,Single,2028-02-01,Baseline,29.9
Fraser Valley,Single,2028-03-01,Baseline,29.9
Fraser Valley,Single,2028-04-01,Baseline,30.1
Fraser Valley,Single,2028-05-01,Baseline,30.4
Fraser Valley,Single,2028-06-01,Baseline,30.7
Fraser Valley,Single,2028-07-01,Baseline,30.9
Fraser Valley,Single,2028-08-01,Baseline,31.1
Fraser Valley,Single,2028-09-01,Baseline,31.1
Fraser Valley,Single,2028-10-01,Baseline,31.0
Fraser Valley,Single,2028-11-01,Baseline,30.9
Fraser Valley,Single,2028-12-01,Baseline,30.7
Fraser Valley,Single,2026-01-01,Downside_+100bp,29.6
Fraser Valley,Single,2026-02-01,Downside_+100bp,28.8
Fraser Valley,Single,2026-03-01,Downside_+100bp,27.5
Fraser Valley,Single,2026-04-01,Downside_+100bp,27.5
Fraser Valley,Single,2026-05-01,Downside_+100bp,27.9
Fraser Valley,Single,2026-06-01,Downside_+100bp,29.2
Fraser Valley,Single,2026-07-01,Downside_+100bp,30.6
Fraser Valley,Single,2026-08-01,Downside_+100bp,31.6
Fraser Valley,Single,2026-09-01,Downside_+100bp,31.7
Fraser Valley,Single,2026-10-01,Downside_+100bp,31.6
Fraser Valley,Single,2026-11-01,Downside_+100bp,30.9
Fraser Valley,Single,2026-12-01,Downside_+100bp,30.3
Fraser Valley,Single,2027-01-01,Downside_+100bp,29.6
Fraser Valley,Single,2027-02-01,Downside_+100bp,29.2
Fraser Valley,Single,2027-03-01,Downside_+100bp,29.1
Fraser Valley,Single,2027-04-01,Downside_+100bp,29.4
Fraser Valley,Single,2027-05-01,Downside_+100bp,29.9
Fraser Valley,Single,2027-06-01,Downside_+100bp,30.5
Fraser Valley,Single,2027-07-01,Downside_+100bp,31.0
Fraser Valley,Single,2027-08-01,Downside_+100bp,31.3
Fraser Valley,Single,2027-09-01,Downside_+100bp,31.3
Fraser Valley,Single,2027-10-01,Downside_+100bp,31.1
Fraser Valley,Single,2027-11-01,Downside_+100bp,30.8
Fraser Valley,Single,2027-12-01,Downside_+100bp,30.5
Fraser Valley,Single,2028-01-01,Downside_+100bp,30.2
Fraser Valley,Single,2028-02-01,Downside_+100bp,30.0
Fraser Valley,Single,2028-03-01,Downside_+100bp,30.0
Fraser Valley,Single,2028-04-01,Downside_+100bp,30.2
Fraser Valley,Single,2028-05-01,Downside_+100bp,30.4
Fraser Valley,Single,2028-06-01,Downside_+100bp,30.7
Fraser Valley,Single,2028-07-01,Downside_+100bp,31.0
Fraser Valley,Single,2028-08-01,Downside_+100bp,31.1
Fraser Valley,Single,2028-09-01,Downside_+100bp,31.2
Fraser Valley,Single,2028-10-01,Downside_+100bp,31.1
Fraser Valley,Single,2028-11-01,Downside_+100bp,30.9
Fraser Valley,Single,2028-12-01,Downside_+100bp,30.7
Fraser Valley,Single,2026-01-01,Upside_-100bp,29.6
Fraser Valley,Single,2026-02-01,Upside_-100bp,28.8
Fraser Valley,Single,2026-03-01,Upside_-100bp,27.5
Fraser Valley,Single,2026-04-01,Upside_-100bp,27.5
Fraser Valley,Single,2026-05-01,Upside_-100bp,27.9
Fraser Valley,Single,2026-06-01,Upside_-100bp,29.2
Fraser Valley,Single,2026-07-01,Upside_-100bp,30.5
Fraser Valley,Single,2026-08-01,Upside_-100bp,31.6
Fraser Valley,Single,2026-09-01,Upside_-100bp,31.7
Fraser Valley,Single,2026-10-01,Upside_-100bp,31.5
Fraser Valley,Single,2026-11-01,Upside_-100bp,30.8
Fraser Valley,Single,2026-12-01,Upside_-100bp,30.2
Fraser Valley,Single,2027-01-01,Upside_-100bp,29.5
Fraser Valley,Single,2027-02-01,Upside_-100bp,29.1
Fraser Valley,Single,2027-03-01,Upside_-100bp,29.0
Fraser Valley,Single,2027-04-01,Upside_-100bp,29.2
Fraser Valley,Single,2027-05-01,Upside_-100bp,29.7
Fraser Valley,Single,2027-06-01,Upside_-100bp,30.3
Fraser Valley,Single,2027-07-01,Upside_-100bp,30.8
Fraser Valley,Single,2027-08-01,Upside_-100bp,31.1
Fraser Valley,Single,2027-09-01,Upside_-100bp,31.2
Fraser Valley,Single,2027-10-01,Upside_-100bp,31.0
Fraser Valley,Single,2027-11-01,Upside_-100bp,30.7
Fraser Valley,Single,2027-12-01,Upside_-100bp,30.4
Fraser Valley,Single,2028-01-01,Upside_-100bp,30.1
Fraser Valley,Single,2028-02-01,Upside_-100bp,29.9
Fraser Valley,Single,2028-03-01,Upside_-100bp,29.9
Fraser Valley,Single,2028-04-01,Upside_-100bp,30.0
Fraser Valley,Single,2028-05-01,Upside_-100bp,30.3
Fraser Valley,Single,2028-06-01,Upside_-100bp,30.6
Fraser Valley,Single,2028-07-01,Upside_-100bp,30.9
Fraser Valley,Single,2028-08-01,Upside_-100bp,31.0
Fraser Valley,Single,2028-09-01,Upside_-100bp,31.0
Fraser Valley,Single,2028-10-01,Upside_-100bp,31.0
Fraser Valley,Single,2028-11-01,Upside_-100bp,30.8
Fraser Valley,Single,2028-12-01,Upside_-100bp,30.6
Fraser-Fort George,Single,2026-01-01,Baseline,4.3
Fraser-Fort George,Single,2026-02-01,Baseline,1.5
Fraser-Fort George,Single,2026-03-01,Baseline,1.9
Fraser-Fort George,Single,2026-04-01,Baseline,4.3
Fraser-Fort George,Single,2026-05-01,Baseline,5.3
Fraser-Fort George,Single,2026-06-01,Baseline,5.0
Fraser-Fort George,Single,2026-07-01,Baseline,4.4
Fraser-Fort George,Single,2026-08-01,Baseline,4.7
Fraser-Fort George,Single,2026-09-01,Baseline,4.9
Fraser-Fort George,Single,2026-10-01,Baseline,4.8
Fraser-Fort George,Single,2026-11-01,Baseline,4.3
Fraser-Fort George,Single,2026-12-01,Baseline,3.7
Fraser-Fort George,Single,2027-01-01,Baseline,3.2
Fraser-Fort George,Single,2027-02-01,Baseline,3.1
Fraser-Fort George,Single,2027-03-01,Baseline,3.2
Fraser-Fort George,Single,2027-04-01,Baseline,3.2
Fraser-Fort George,Single,2027-05-01,Baseline,3.2
Fraser-Fort George,Single,2027-06-01,Baseline,3.2
Fraser-Fort George,Single,2027-07-01,Baseline,3.2
Fraser-Fort George,Single,2027-08-01,Baseline,3.1
Fraser-Fort George,Single,2027-09-01,Baseline,3.1
Fraser-Fort George,Single,2027-10-01,Baseline,3.0
Fraser-Fort George,Single,2027-11-01,Baseline,2.8
Fraser-Fort George,Single,2027-12-01,Baseline,2.7
Fraser-Fort George,Single,2028-01-01,Baseline,2.6
Fraser-Fort George,Single,2028-02-01,Baseline,2.6
Fraser-Fort George,Single,2028-03-01,Baseline,2.5
Fraser-Fort George,Single,2028-04-01,Baseline,2.5
Fraser-Fort George,Single,2028-05-01,Baseline,2.5
Fraser-Fort George,Single,2028-06-01,Baseline,2.5
Fraser-Fort George,Single,2028-07-01,Baseline,2.5
Fraser-Fort George,Single,2028-08-01,Baseline,2.4
Fraser-Fort George,Single,2028-09-01,Baseline,2.4
Fraser-Fort George,Single,2028-10-01,Baseline,2.4
Fraser-Fort George,Single,2028-11-01,Baseline,2.3
Fraser-Fort George,Single,2028-12-01,Baseline,2.3
Fraser-Fort George,Single,2026-01-01,Downside_+100bp,4.3
Fraser-Fort George,Single,2026-02-01,Downside_+100bp,1.5
Fraser-Fort George,Single,2026-03-01,Downside_+100bp,1.9
Fraser-Fort George,Single,2026-04-01,Downside_+100bp,4.3
Fraser-Fort George,Single,2026-05-01,Downside_+100bp,5.3
Fraser-Fort George,Single,2026-06-01,Downside_+100bp,5.0
Fraser-Fort George,Single,2026-07-01,Downside_+100bp,4.4
Fraser-Fort George,Single,2026-08-01,Downside_+100bp,4.7
Fraser-Fort George,Single,2026-09-01,Downside_+100bp,4.9
Fraser-Fort George,Single,2026-10-01,Downside_+100bp,4.8
Fraser-Fort George,Single,2026-11-01,Downside_+100bp,4.3
Fraser-Fort George,Single,2026-12-01,Downside_+100bp,3.7
Fraser-Fort George,Single,2027-01-01,Downside_+100bp,3.2
Fraser-Fort George,Single,2027-02-01,Downside_+100bp,3.1
Fraser-Fort George,Single,2027-03-01,Downside_+100bp,3.2
Fraser-Fort George,Single,2027-04-01,Downside_+100bp,3.2
Fraser-Fort George,Single,2027-05-01,Downside_+100bp,3.2
Fraser-Fort George,Single,2027-06-01,Downside_+100bp,3.2
Fraser-Fort George,Single,2027-07-01,Downside_+100bp,3.2
Fraser-Fort George,Single,2027-08-01,Downside_+100bp,3.1
Fraser-Fort George,Single,2027-09-01,Downside_+100bp,3.1
Fraser-Fort George,Single,2027-10-01,Downside_+100bp,3.0
Fraser-Fort George,Single,2027-11-01,Downside_+100bp,2.8
Fraser-Fort George,Single,2027-12-01,Downside_+100bp,2.7
Fraser-Fort George,Single,2028-01-01,Downside_+100bp,2.6
Fraser-Fort George,Single,2028-02-01,Downside_+100bp,2.6
Fraser-Fort George,Single,2028-03-01,Downside_+100bp,2.5
Fraser-Fort George,Single,2028-04-01,Downside_+100bp,2.5
Fraser-Fort George,Single,2028-05-01,Downside_+100bp,2.5
Fraser-Fort George,Single,2028-06-01,Downside_+100bp,2.5
Fraser-Fort George,Single,2028-07-01,Downside_+100bp,2.5
Fraser-Fort George,Single,2028-08-01,Downside_+100bp,2.4
Fraser-Fort George,Single,2028-09-01,Downside_+100bp,2.4
Fraser-Fort George,Single,2028-10-01,Downside_+100bp,2.4
Fraser-Fort George,Single,2028-11-01,Downside_+100bp,2.3
Fraser-Fort George,Single,2028-12-01,Downside_+100bp,2.3
Fraser-Fort George,Single,2026-01-01,Upside_-100bp,4.3
Fraser-Fort George,Single,2026-02-01,Upside_-100bp,1.5
Fraser-Fort George,Single,2026-03-01,Upside_-100bp,1.9
Fraser-Fort George,Single,2026-04-01,Upside_-100bp,4.3
Fraser-Fort George,Single,2026-05-01,Upside_-100bp,5.3
Fraser-Fort George,Single,2026-06-01,Upside_-100bp,5.0
Fraser-Fort George,Single,2026-07-01,Upside_-100bp,4.4
Fraser-Fort George,Single,2026-08-01,Upside_-100bp,4.7
Fraser-Fort George,Single,2026-09-01,Upside_-100bp,4.9
Fraser-Fort George,Single,2026-10-01,Upside_-100bp,4.8
Fraser-Fort George,Single,2026-11-01,Upside_-100bp,4.3
Fraser-Fort George,Single,2026-12-01,Upside_-100bp,3.7
Fraser-Fort George,Single,2027-01-01,Upside_-100bp,3.2
Fraser-Fort George,Single,2027-02-01,Upside_-100bp,3.1
Fraser-Fort George,Single,2027-03-01,Upside_-100bp,3.1
Fraser-Fort George,Single,2027-04-01,Upside_-100bp,3.2
Fraser-Fort George,Single,2027-05-01,Upside_-100bp,3.2
Fraser-Fort George,Single,2027-06-01,Upside_-100bp,3.2
Fraser-Fort George,Single,2027-07-01,Upside_-100bp,3.1
Fraser-Fort George,Single,2027-08-01,Upside_-100bp,3.1
Fraser-Fort George,Single,2027-09-01,Upside_-100bp,3.1
Fraser-Fort George,Single,2027-10-01,Upside_-100bp,2.9
Fraser-Fort George,Single,2027-11-01,Upside_-100bp,2.8
Fraser-Fort George,Single,2027-12-01,Upside_-100bp,2.7
Fraser-Fort George,Single,2028-01-01,Upside_-100bp,2.6
Fraser-Fort George,Single,2028-02-01,Upside_-100bp,2.6
Fraser-Fort George,Single,2028-03-01,Upside_-100bp,2.5
Fraser-Fort George,Single,2028-04-01,Upside_-100bp,2.5
Fraser-Fort George,Single,2028-05-01,Upside_-100bp,2.5
Fraser-Fort George,Single,2028-06-01,Upside_-100bp,2.5
Fraser-Fort George,Single,2028-07-01,Upside_-100bp,2.5
Fraser-Fort George,Single,2028-08-01,Upside_-100bp,2.4
Fraser-Fort George,Single,2028-09-01,Upside_-100bp,2.4
Fraser-Fort George,Single,2028-10-01,Upside_-100bp,2.4
Fraser-Fort George,Single,2028-11-01,Upside_-100bp,2.3
Fraser-Fort George,Single,2028-12-01,Upside_-100bp,2.3
Metro Vancouver,Single,2026-01-01,Baseline,218.1
Metro Vancouver,Single,2026-02-01,Baseline,208.9
Metro Vancouver,Single,2026-03-01,Baseline,185.7
Metro Vancouver,Single,2026-04-01,Baseline,175.7
Metro Vancouver,Single,2026-05-01,Baseline,172.8
Metro Vancouver,Single,2026-06-01,Baseline,178.3
Metro Vancouver,Single,2026-07-01,Baseline,185.4
Metro Vancouver,Single,2026-08-01,Baseline,192.0
Metro Vancouver,Single,2026-09-01,Baseline,195.1
Metro Vancouver,Single,2026-10-01,Baseline,196.6
Metro Vancouver,Single,2026-11-01,Baseline,194.1
Metro Vancouver,Single,2026-12-01,Baseline,191.0
Metro Vancouver,Single,2027-01-01,Baseline,183.6
Metro Vancouver,Single,2027-02-01,Baseline,178.3
Metro Vancouver,Single,2027-03-01,Baseline,175.3
Metro Vancouver,Single,2027-04-01,Baseline,175.6
Metro Vancouver,Single,2027-05-01,Baseline,178.0
Metro Vancouver,Single,2027-06-01,Baseline,181.4
Metro Vancouver,Single,2027-07-01,Baseline,184.4
Metro Vancouver,Single,2027-08-01,Baseline,186.2
Metro Vancouver,Single,2027-09-01,Baseline,186.4
Metro Vancouver,Single,2027-10-01,Baseline,185.2
Metro Vancouver,Single,2027-11-01,Baseline,182.7
Metro Vancouver,Single,2027-12-01,Baseline,179.9
Metro Vancouver,Single,2028-01-01,Baseline,177.2
Metro Vancouver,Single,2028-02-01,Baseline,175.5
Metro Vancouver,Single,2028-03-01,Baseline,175.0
Metro Vancouver,Single,2028-04-01,Baseline,175.6
Metro Vancouver,Single,2028-05-01,Baseline,176.9
Metro Vancouver,Single,2028-06-01,Baseline,178.4
Metro Vancouver,Single,2028-07-01,Baseline,179.6
Metro Vancouver,Single,2028-08-01,Baseline,180.3
Metro Vancouver,Single,2028-09-01,Baseline,180.1
Metro Vancouver,Single,2028-10-01,Baseline,179.3
Metro Vancouver,Single,2028-11-01,Baseline,177.9
Metro Vancouver,Single,2028-12-01,Baseline,176.4
Metro Vancouver,Single,2026-01-01,Downside_+100bp,218.1
Metro Vancouver,Single,2026-02-01,Downside_+100bp,208.9
Metro Vancouver,Single,2026-03-01,Downside_+100bp,185.7
Metro Vancouver,Single,2026-04-01,Downside_+100bp,175.7
Metro Vancouver,Single,2026-05-01,Downside_+100bp,172.8
Metro Vancouver,Single,2026-06-01,Downside_+100bp,178.3
Metro Vancouver,Single,2026-07-01,Downside_+100bp,185.4
Metro Vancouver,Single,2026-08-01,Downside_+100bp,192.0
Metro Vancouver,Single,2026-09-01,Downside_+100bp,195.2
Metro Vancouver,Single,2026-10-01,Downside_+100bp,196.8
Metro Vancouver,Single,2026-11-01,Downside_+100bp,194.3
Metro Vancouver,Single,2026-12-01,Downside_+100bp,191.3
Metro Vancouver,Single,2027-01-01,Downside_+100bp,183.9
Metro Vancouver,Single,2027-02-01,Downside_+100bp,178.6
Metro Vancouver,Single,2027-03-01,Downside_+100bp,175.6
Metro Vancouver,Single,2027-04-01,Downside_+100bp,175.9
Metro Vancouver,Single,2027-05-01,Downside_+100bp,178.3
Metro Vancouver,Single,2027-06-01,Downside_+100bp,181.7
Metro Vancouver,Single,2027-07-01,Downside_+100bp,184.8
Metro Vancouver,Single,2027-08-01,Downside_+100bp,186.6
Metro Vancouver,Single,2027-09-01,Downside_+100bp,186.8
Metro Vancouver,Single,2027-10-01,Downside_+100bp,185.6
Metro Vancouver,Single,2027-11-01,Downside_+100bp,183.1
